index,year,cat,name,arg1,arg2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0,0,max,26,,4,3,1,1,5,5,1,1,4,1,2,3,6,1,1,1,4,1,1,1,1,1,1,1,1,1
0,0,0,idx_name,0,,Point_no_normal point_point on segment_intersections_vertex,Type of line_no_straight line_curve line_free curve,Speed_no_yes,Thickness_no_yes,Direction of Line_no_verticality_horizontality_multidirection_rotation_direction of slant,Surface_no_square_rectangle_circle_triangle_polygon,Transformation of surface_no_yes,Perspective_no_yes,Type of Volume_no_corniform_cylinder_cube_sphere,Transformation of Volume_no_yes,Natural object_no_organism substance_inorganic substance,Artificiality_no_geometry_artifact_typo,Concept of Color_no_analogous_monochromatic_triad_complementary_compound_colorful concept,Texture_no_yes,Rhythm_no_yes,Space_no_yes,Direction of composition_no_one direction_multi direction_rotation,Weight_no_yes,Detachment_no_yes,Touching_no_yes,Overlapping_no_yes,Penetration_no_yes,Union_no_yes,Subtraction_no_yes,Intersection_no_yes,Coinciding_no_yes
0,0,0,idx_name_korean,0,,점_no_단순영역_선분의점_교차점_꼭지점,선_no_직선_곡선_자유곡선,속도_no_yes,강약_no_yes,방향_no_수직_수평_다방향_회전_그외사선,면_no_정사각형_직사각형_원_삼각형_다각형,면의변형_no_yes,원근감_no_yes,입체성질_no_뿔_기둥_면체_구,입체변형_no_yes,자연요소_no_생물_무생물,인위요소_no_기하학_인공물_타이포,색체컨셉_no_유사색_단색_색상환3가지_보색_색의결합_다양한색상의결합,질감_no_yes,리듬감_no_yes,공간감_no_yes,방향_no_단일_다방향_회전,중량감_no_yes,분리_no_yes,맞닿음_no_yes,겹침_no_yes,관통_no_yes,융합_no_yes,기존형태삭감_no_yes,교차부분만남기_no_yes,개체의일치_no_yes
0,0,0,cat,0,,A,A,A,A,A,A,A,A,A,A,B,B,B,B,C,C,C,C,D,D,D,D,D,D,D,D
80,2008,A,Loops,#ffaaaa,,0,3,0,1,0,2,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
81,2008,A,Jawbreakers,#ffaaaa,Concentric,0,0,0,0,0,3,1,0,0,0,0,1,6,0,1,0,0,0,1,0,1,0,0,0,0,0
82,2008,B,Strobe,#33ff66,,0,1,0,1,0,2,1,0,0,0,2,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0
83,2008,B,Nimbus,#33ff66,,0,1,1,1,3,3,1,0,0,0,2,0,1,0,1,0,3,0,0,0,1,1,0,1,0,0
84,2008,B,Stitch,#33ff66,,0,1,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
85,2008,B,Colorblind,#33ff66,,1,0,0,0,0,3,1,0,0,0,0,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0
86,2008,D,Amoeba,#ff43ff,,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
87,2008,B,Facets,#33ff66,,0,0,0,0,0,5,1,0,0,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
88,2008,B,Doodles,#33ff66,,0,3,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0
89,2008,B,Flourish,#33ff66,"flora,wallpaper",0,2,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
90,2008,B,Fibrous,#33ff66,festoon,0,3,1,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0
91,2009,B,Photofill,#33ff66,photo-icon,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0
92,2009,D,Concealed,#ff43ff,,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,1,0,0
93,2009,A,VariDot,#ffaaaa,,1,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0
94,2009,A,Candy-Stripe,#ffaaaa,,0,3,0,1,1,0,0,0,0,0,0,1,6,0,1,0,1,0,0,1,1,0,0,0,0,0
95,2009,B,Texting,#33ff66,,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0
96,2009,D,Encrust,#ff43ff,,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0
97,2009,C,Monolgue,#aaaaff,,0,0,0,0,0,2,1,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0
98,2009,B,Doily,#33ff66,,0,3,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0
99,2009,C,Flip-Flop,#aaaaff,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0
100,2009,B,Mosaic,#33ff66,bucky,0,0,0,0,0,5,1,0,0,0,0,2,6,0,1,0,0,0,0,1,0,0,0,0,0,0
101,2009,C,Sequential,#aaaaff,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
102,2009,C,Recycle,#aaaaff,,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,0
103,2009,B,Dandelion,#33ff66,spore,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0
104,2009,A,Circulate,#ffaaaa,,0,0,0,0,0,3,1,0,0,0,0,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0
105,2009,B,Gossamer,#33ff66,"blur,Selective-Focus",0,0,1,1,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
106,2010,A,Cubist,#ffaaaa,,0,0,0,0,0,5,1,0,3,1,0,1,3,1,0,0,0,1,0,1,0,0,0,0,0,0
107,2010,B,Spores,#33ff66,dandelion,0,0,0,0,0,5,1,0,3,1,1,1,1,0,0,0,2,1,0,0,1,0,1,0,0,0
108,2010,B,Ghosts,#33ff66,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
109,2010,B,Tendrils,#33ff66,,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
110,2010,D,Shift,#ff43ff,"overlap,overlay",0,0,0,0,0,0,0,0,0,0,0,3,6,0,1,0,0,0,0,0,1,0,0,0,0,0
111,2010,D,Parts,#ff43ff,,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0
112,2010,A,Pixel,#ffaaaa,bucky,0,0,0,0,0,1,1,0,0,0,0,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0
113,2010,A,Hexahedron,#ffaaaa,,0,0,0,0,0,2,1,0,3,1,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0
114,2010,A,Dust,#ffaaaa,,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
115,2010,B,Peepshow,#33ff66,,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,1,0,0
116,2010,B,Festoon,#33ff66,fibrous,0,3,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
117,2010,B,Stains,#33ff66,"Brush,watercolor",0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,1,0,0,0
118,2010,C,Burst,#aaaaff,Supernova,1,1,1,1,2,0,1,1,0,0,2,0,6,1,1,1,2,0,1,0,0,0,0,0,0,0
119,2010,B,Wallpaper,#33ff66,"flora,flourish",0,0,0,0,0,0,1,0,0,0,0,2,6,1,0,0,0,0,0,0,1,0,0,0,0,1
120,2010,B,Box-Up,#33ff66,,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
121,2011,B,Gradients,#33ff66,,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0
122,2011,B,Juvi,#33ff66,urban-vinyl,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0
123,2011,B,Vibrate,#33ff66,blur,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
124,2011,A,O,#ffaaaa,,0,0,0,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
125,2011,D,Earth,#ff43ff,,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0
126,2011,A,Monoline,#ffaaaa,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
127,2011,D,Series,#ff43ff,Cousin-Series,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0
128,2011,B,Brown,#33ff66,,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
129,2011,B,Dandruff,#33ff66,,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
130,2011,C,Concentric,#aaaaff,jawbreakers,0,3,0,0,3,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0
131,2011,A,Loopys,#ffaaaa,,0,3,0,0,3,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0
132,2011,B,Banded,#33ff66,,0,0,0,0,0,0,1,0,0,0,0,2,5,1,1,0,0,0,0,0,1,0,0,0,0,0
133,2011,B,Comma,#33ff66,,0,0,0,0,0,3,1,0,0,0,0,3,5,1,0,0,0,1,0,0,1,0,0,0,0,0
134,2011,A,Buckys,#ffaaaa,"mosaic,pixel,Tessellation",0,0,0,0,0,4,1,0,0,0,0,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0
135,2011,B,Fruit,#33ff66,,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
136,2012,B,Icon-clusters,#33ff66,,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0
137,2012,D,Transparent-Links,#ff43ff,Transparency,0,0,0,0,0,0,1,0,0,0,0,1,6,0,0,1,2,0,0,0,1,0,1,0,0,1
138,2012,B,Watercolor,#33ff66,Stains,0,0,0,0,0,0,1,0,0,0,1,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0
