word,cat,A_M,A_SD,V_M,V_SD
ill-being,noun,5.17,2.69,1.93,1.6,
follower,noun,4.3,2.26,4.35,1.23,
slack,verb,3.39,2.22,3.93,1.6,
absolved,adj,4.21,1.99,6.51,1.34,
otiose,adj,2.65,2.06,4.38,2.02,
corking,adj,5.43,2.85,7.47,1.45,
youngness,noun,5.67,2.52,6.75,2.29,
depressing,adj,2.98,2.18,3.05,1.58,
laxation,noun,4.12,2.36,3.21,1.87,
business leader,noun,6.67,1.87,6.54,2.21,
debauchery,noun,6.39,2.63,2.96,1.93,
move back and forth,verb,4.52,2.37,5.56,1.38,
taste property,noun,5.1,1.95,3.93,1.98,
concupiscence,noun,7.26,2.57,8.03,1.27,
deprivation,noun,5.61,2.53,2.39,1.82,
seating room,noun,3.52,2.29,6.02,1.89,
alter,verb,5.8,2.39,3.66,2,
guy,verb,5.87,2.56,4.84,2.51,
selection,noun,5.74,2.81,8.28,0.92,
property,noun,5.52,2.63,5.55,2.37,
passionate,adj,6.63,2.7,7.97,1,
story,noun,3.93,2.29,5.24,2.01,
liquid,noun,4.97,2.49,6.61,1.78,
good manners,noun,3.74,2.37,7.18,1.5,
frantic,adj,6.76,2.26,2.44,1.72,
spring chicken,noun,5.67,2.52,6.75,2.29,
visible radiation,noun,4.7,2.41,7.23,1.8,
turncoat,noun,5.5,2.55,2.45,1.8,
locomotion,noun,3.86,2.13,5.67,1.26,
imaginary creature,noun,4.59,3.07,1.61,1.4,
disturbance,noun,5.86,2.4,2,1.18,
moving picture,noun,4.93,2.54,6.86,1.81,
scholarly person,noun,5.86,2.7,5.2,2.54,
dark,adj,4.61,2.24,5.39,1.8,
fold up,verb,4.59,2.1,3.83,1.7,
sponsor,noun,4.83,2.63,7.53,1.58,
corundum,noun,5,2.72,7,1.88,
family line,noun,4.25,2.47,5.55,2.24,
do,verb,5,2.32,3.64,2.08,
inaccuracy,noun,5,2.77,7.8,1.29,
articulatio,noun,3.81,2.14,5.12,0.92,
reproduction,noun,5.11,2.84,7,2.01,
impairment,noun,3.81,2.27,3.29,1.69,
apex,noun,4.28,2.53,6.58,1.42,
leg,noun,3.96,1.94,5.29,0.97,
virtuoso,adj,5.2,2.85,7.09,1.78,
tremendous,adj,6.27,2.44,1.93,1.44,
pledge,verb,5.31,2.23,5.92,1.57,
small indefinite amount,noun,4.14,2.28,5.45,1.63,
light-colored,adj,4.37,2.14,6.47,1.59,
cover,verb,6.57,2.33,1.92,1.48,
achromatic colour,noun,4.37,2.14,6.47,1.59,
pianissimo assai,adj,4.63,2.61,7.12,1.34,
famished,adj,5.13,2.44,3.58,2.01,
declare,verb,4.49,1.9,6.49,1.7,
theologian,noun,4.93,2.82,3.34,2.31,
remiss,adj,4.1,1.94,4.28,1.84,
witch,verb,4.68,2.23,6.76,1.6,
expose,verb,4.12,2.3,6.34,1.56,
spurious,adj,3.43,2.09,3.27,1.4,
favour,verb,4.76,2.18,6.95,1.85,
sumptuousness,noun,4.75,2.91,7.88,1.49,
outlaw,noun,4.79,2.51,2.93,1.66,
ruttish,adj,6.63,2.7,7.97,1,
depositary,noun,3.6,2.13,5.54,1.86,
gentleman,noun,5.24,2.31,6.73,1.7,
work,verb,3.82,2.4,5.09,1.67,
harm,noun,6.22,1.91,2.73,1.72,
chromatic,adj,3.77,2.16,3.86,1.47,
psychological feature,noun,5.92,2.32,7.58,1.32,
non-living,adj,5.73,2.73,1.94,1.76,
symptom,noun,4.79,2.11,3.38,1.7,
wrongdoing,noun,5.57,2.26,3.05,1.65,
spend,verb,4.95,2.19,6.45,1.93,
biscuit,noun,7.32,2.03,8.26,1.54,
end,noun,4.59,3.07,1.61,1.4,
beauty,noun,6.02,2.71,7.55,1.68,
mansion house,noun,5.1,2.75,7.19,1.78,
grace,verb,5.14,2.39,6.93,1.3,
safety,noun,7.32,2.07,2.95,2.22,
approval,noun,4.95,2.62,7.53,1.67,
illegible,adj,4.93,2.23,2.81,1.52,
address,verb,5.27,2.31,7,1.52,
precarious,adj,5.56,2.34,2.36,1.33,
open,noun,5.92,2.55,7.47,1.8,
hardship,noun,6.33,2.7,1.73,1.13,
aching,noun,5.55,2.51,1.98,1.15,
twain,noun,6.39,2.31,7.41,1.97,
blamable,adj,6.04,2.76,2.63,1.98,
topsy-turvydom,noun,6.67,2.06,4.17,2.36,
colourise,verb,4.73,2.64,7.02,1.57,
dearest,noun,6.44,3.35,8.72,0.7,
attack,verb,4.1,2.34,2.88,1.75,
wear,noun,4.78,2.88,6.54,1.85,
blow,noun,4.9,2.35,4.31,2.18,
deal,verb,5,2.68,6.68,1.84,
pricker,noun,5.14,2.14,3.64,1.76,
set apart,verb,4.1,2.24,5.55,1.58,
of import,adj,6.24,2.59,7.75,1.75,
