영화명,달콤하다,신나다,유쾌하다,재미있다,즐겁다,통쾌하다,행복하다,활기있다,황홀하다,감격스럽다,감동적이다,경이롭다,굉장하다,놀라다,대단하다,환상적이다,평온하다,나른하다,지루하다,가슴아프다,서글프다,슬프다,쓸쓸하다,안타깝다,애석하다,격분하다,분노하다,구역질나다,불결하다,잔인하다,공포스럽다,등골이서늘하다,무섭다,무시무시하다,소름끼치다,오싹하다,,MAX,,
가족,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.02,0.12,0.02,0.20,0.00,0.01,0.01,0.04,0.01,0.01,0.03,0.04,0.03,0.00,0.30,0.00,0.04,0.04,0.01,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,,0.30,22.00,슬프다
가족의탄생,0.03,0.00,0.02,0.05,0.03,0.01,0.04,0.04,0.08,0.02,0.09,0.01,0.01,0.08,0.10,0.04,0.02,0.01,0.10,0.02,0.00,0.02,0.01,0.06,0.02,0.02,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,,0.10,19.00,지루하다
각설탕,0.02,0.00,0.00,0.04,0.00,0.00,0.01,0.03,0.05,0.02,0.30,0.00,0.01,0.01,0.07,0.02,0.00,0.06,0.04,0.01,0.00,0.21,0.00,0.04,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.30,11.00,감동적이다
간첩,0.02,0.00,0.03,0.13,0.07,0.01,0.00,0.05,0.01,0.01,0.03,0.00,0.01,0.02,0.04,0.04,0.01,0.02,0.10,0.00,0.01,0.01,0.01,0.09,0.03,0.05,0.07,0.00,0.04,0.04,0.00,0.02,0.01,0.00,0.02,0.01,,0.13,4.00,재미있다
감기,0.03,0.00,0.00,0.09,0.02,0.01,0.01,0.05,0.02,0.01,0.06,0.00,0.03,0.02,0.08,0.06,0.01,0.05,0.09,0.00,0.00,0.03,0.00,0.06,0.02,0.04,0.05,0.00,0.03,0.04,0.01,0.04,0.01,0.00,0.01,0.01,,0.09,19.00,지루하다
강력3반,0.03,0.00,0.02,0.15,0.05,0.01,0.00,0.08,0.01,0.01,0.05,0.00,0.01,0.02,0.08,0.05,0.00,0.05,0.05,0.00,0.00,0.03,0.01,0.08,0.01,0.05,0.08,0.00,0.02,0.01,0.00,0.01,0.00,0.00,0.01,0.02,,0.15,4.00,재미있다
거룩한계보,0.02,0.00,0.06,0.12,0.09,0.00,0.00,0.03,0.02,0.02,0.10,0.00,0.01,0.02,0.08,0.07,0.00,0.02,0.07,0.00,0.00,0.07,0.01,0.06,0.03,0.02,0.03,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.12,4.00,재미있다
거북이달린다,0.02,0.00,0.03,0.19,0.12,0.01,0.01,0.07,0.01,0.01,0.03,0.00,0.02,0.02,0.11,0.06,0.01,0.02,0.06,0.00,0.00,0.01,0.01,0.06,0.02,0.01,0.02,0.00,0.01,0.01,0.00,0.03,0.00,0.00,0.00,0.03,,0.19,4.00,재미있다
걸리버여행기,0.01,0.02,0.02,0.17,0.09,0.00,0.00,0.06,0.01,0.01,0.01,0.00,0.02,0.01,0.04,0.01,0.01,0.03,0.11,0.01,0.00,0.01,0.01,0.13,0.06,0.03,0.06,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.17,4.00,재미있다
검은집,0.00,0.00,0.00,0.03,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.06,0.04,0.01,0.00,0.02,0.04,0.01,0.02,0.00,0.01,0.04,0.01,0.02,0.02,0.00,0.01,0.08,0.16,0.05,0.19,0.03,0.01,0.06,,0.19,33.00,무섭다
