영화명,달콤하다,신나다,유쾌하다,재미있다,즐겁다,통쾌하다,행복하다,활기있다,황홀하다,감격스럽다,감동적이다,경이롭다,굉장하다,놀라다,대단하다,환상적이다,평온하다,나른하다,지루하다,가슴아프다,서글프다,슬프다,쓸쓸하다,안타깝다,애석하다,격분하다,분노하다,구역질나다,불결하다,잔인하다,공포스럽다,등골이서늘하다,무섭다,무시무시하다,소름끼치다,오싹하다,,MAX,,
디스트릭트9,0.01,0.00,0.00,0.08,0.01,0.00,0.00,0.07,0.01,0.01,0.05,0.02,0.03,0.09,0.17,0.04,0.00,0.01,0.05,0.01,0.01,0.03,0.01,0.05,0.02,0.02,0.09,0.02,0.02,0.05,0.00,0.02,0.01,0.00,0.01,0.01,,0.17,15.00,대단하다
디어존,0.02,0.00,0.00,0.02,0.01,0.00,0.01,0.05,0.28,0.01,0.11,0.00,0.01,0.02,0.04,0.03,0.01,0.02,0.05,0.02,0.00,0.05,0.03,0.07,0.03,0.02,0.06,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.28,9.00,황홀하다
디워,0.01,0.00,0.00,0.08,0.02,0.00,0.01,0.11,0.01,0.01,0.05,0.01,0.06,0.03,0.13,0.06,0.01,0.01,0.04,0.00,0.00,0.02,0.01,0.10,0.03,0.04,0.05,0.00,0.03,0.01,0.00,0.01,0.00,0.00,0.01,0.01,,0.13,15.00,대단하다
디파티드,0.00,0.00,0.00,0.09,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0.01,0.03,0.06,0.10,0.05,0.00,0.01,0.11,0.01,0.00,0.00,0.06,0.07,0.05,0.05,0.04,0.00,0.02,0.03,0.00,0.07,0.00,0.00,0.00,0.03,,0.11,19.00,지루하다
뜨거운녀석들,0.02,0.02,0.07,0.15,0.14,0.04,0.00,0.03,0.01,0.01,0.00,0.00,0.01,0.07,0.05,0.02,0.00,0.01,0.06,0.00,0.01,0.00,0.00,0.03,0.01,0.01,0.06,0.00,0.01,0.08,0.01,0.01,0.01,0.00,0.00,0.03,,0.15,4.00,재미있다
라디오스타,0.03,0.01,0.01,0.07,0.08,0.00,0.03,0.05,0.02,0.02,0.23,0.00,0.01,0.01,0.13,0.04,0.01,0.03,0.04,0.00,0.00,0.06,0.01,0.05,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.23,11.00,감동적이다
라따뚜이,0.12,0.00,0.04,0.17,0.05,0.00,0.03,0.05,0.04,0.00,0.11,0.01,0.02,0.02,0.14,0.02,0.00,0.01,0.03,0.00,0.00,0.01,0.00,0.03,0.02,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.17,4.00,재미있다
라스트갓파더,0.01,0.00,0.02,0.17,0.17,0.00,0.01,0.07,0.01,0.01,0.01,0.00,0.03,0.01,0.05,0.01,0.01,0.02,0.08,0.01,0.00,0.00,0.01,0.08,0.04,0.04,0.07,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.17,4.00,재미있다
라스트에어벤더,0.02,0.00,0.00,0.14,0.01,0.00,0.00,0.08,0.01,0.00,0.01,0.00,0.03,0.01,0.04,0.02,0.01,0.01,0.12,0.01,0.00,0.00,0.01,0.14,0.04,0.07,0.09,0.00,0.06,0.01,0.00,0.01,0.00,0.00,0.00,0.01,,0.14,24.00,안타깝다
라스트엑소시즘,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.05,0.04,0.01,0.00,0.00,0.03,0.00,0.04,0.00,0.02,0.04,0.01,0.02,0.04,0.00,0.03,0.01,0.28,0.08,0.18,0.01,0.03,0.01,,0.28,31.00,공포스럽다
라푼젤,0.10,0.01,0.03,0.18,0.04,0.00,0.03,0.03,0.14,0.01,0.06,0.01,0.02,0.01,0.12,0.04,0.01,0.03,0.02,0.00,0.00,0.01,0.00,0.04,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.18,4.00,재미있다
러닝스케어드,0.00,0.00,0.00,0.08,0.01,0.02,0.01,0.03,0.01,0.00,0.01,0.00,0.02,0.14,0.12,0.08,0.00,0.01,0.05,0.00,0.00,0.00,0.00,0.04,0.01,0.01,0.02,0.00,0.01,0.03,0.00,0.14,0.00,0.00,0.00,0.10,,0.14,32.00,등골이서늘하다
럭키넘버슬레븐,0.02,0.00,0.01,0.08,0.01,0.01,0.00,0.03,0.01,0.01,0.01,0.01,0.02,0.34,0.06,0.07,0.00,0.04,0.07,0.00,0.00,0.01,0.00,0.03,0.01,0.04,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.05,,0.34,14.00,놀라다
런닝맨,0.10,0.02,0.04,0.12,0.09,0.02,0.00,0.06,0.01,0.01,0.03,0.01,0.02,0.02,0.09,0.04,0.00,0.02,0.07,0.00,0.00,0.01,0.00,0.05,0.01,0.01,0.02,0.00,0.02,0.00,0.03,0.03,0.00,0.00,0.00,0.05,,0.12,4.00,재미있다
레드,0.04,0.02,0.10,0.16,0.09,0.08,0.00,0.06,0.01,0.01,0.00,0.01,0.02,0.02,0.07,0.05,0.00,0.03,0.06,0.00,0.00,0.00,0.00,0.05,0.01,0.01,0.03,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.03,,0.16,4.00,재미있다
레드라이딩후드,0.00,0.00,0.00,0.08,0.01,0.00,0.00,0.06,0.13,0.00,0.01,0.01,0.01,0.14,0.03,0.06,0.00,0.01,0.07,0.00,0.00,0.00,0.02,0.07,0.02,0.01,0.03,0.00,0.01,0.04,0.00,0.07,0.00,0.00,0.00,0.07,,0.14,14.00,놀라다
레지던트이블2,0.01,0.01,0.00,0.12,0.02,0.03,0.00,0.10,0.03,0.00,0.01,0.00,0.03,0.02,0.08,0.07,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.06,0.02,0.02,0.03,0.00,0.02,0.03,0.04,0.07,0.01,0.00,0.13,0.04,,0.13,35.00,소름끼치다
레지던트이블3-인류의멸망,0.01,0.00,0.00,0.09,0.01,0.01,0.00,0.11,0.02,0.00,0.00,0.00,0.03,0.02,0.06,0.06,0.00,0.01,0.04,0.00,0.01,0.00,0.02,0.06,0.07,0.03,0.04,0.00,0.01,0.02,0.03,0.04,0.02,0.00,0.13,0.03,,0.13,35.00,소름끼치다
레지던트이블4끝나지않은전쟁3D,0.01,0.01,0.00,0.08,0.02,0.02,0.00,0.10,0.02,0.00,0.00,0.00,0.02,0.02,0.07,0.03,0.00,0.01,0.06,0.01,0.00,0.00,0.02,0.11,0.10,0.03,0.07,0.00,0.04,0.02,0.01,0.03,0.00,0.00,0.10,0.01,,0.11,24.00,안타깝다
레지던트이블5,0.03,0.01,0.00,0.07,0.02,0.01,0.00,0.10,0.02,0.00,0.00,0.00,0.02,0.03,0.04,0.03,0.00,0.01,0.07,0.00,0.00,0.00,0.01,0.07,0.06,0.06,0.08,0.00,0.05,0.02,0.01,0.02,0.00,0.00,0.13,0.02,,0.13,35.00,소름끼치다
레터스투줄리엣,0.05,0.00,0.01,0.06,0.02,0.00,0.04,0.04,0.36,0.01,0.07,0.04,0.01,0.01,0.04,0.04,0.01,0.08,0.04,0.00,0.00,0.01,0.00,0.02,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.36,9.00,황홀하다
렛미인,0.01,0.00,0.00,0.02,0.00,0.00,0.01,0.02,0.24,0.01,0.06,0.01,0.01,0.04,0.05,0.05,0.02,0.01,0.04,0.02,0.01,0.09,0.02,0.02,0.00,0.01,0.05,0.00,0.00,0.07,0.04,0.01,0.02,0.00,0.01,0.02,,0.24,9.00,황홀하다
렛미인2010,0.02,0.00,0.00,0.07,0.00,0.00,0.01,0.03,0.15,0.01,0.05,0.00,0.02,0.04,0.06,0.08,0.01,0.01,0.05,0.01,0.01,0.06,0.02,0.05,0.01,0.01,0.06,0.00,0.01,0.05,0.03,0.03,0.02,0.00,0.01,0.02,,0.15,9.00,황홀하다
로맨틱홀리데이,0.08,0.00,0.03,0.09,0.04,0.00,0.08,0.04,0.16,0.01,0.05,0.00,0.01,0.02,0.06,0.07,0.00,0.04,0.11,0.01,0.00,0.01,0.01,0.03,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.16,9.00,황홀하다
록키발보아,0.01,0.00,0.00,0.03,0.00,0.00,0.01,0.05,0.02,0.03,0.19,0.06,0.07,0.01,0.12,0.08,0.00,0.04,0.07,0.00,0.00,0.06,0.00,0.04,0.02,0.02,0.03,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.01,,0.19,11.00,감동적이다
론레인저,0.03,0.02,0.07,0.12,0.05,0.03,0.00,0.07,0.01,0.01,0.01,0.00,0.02,0.02,0.05,0.05,0.01,0.03,0.16,0.00,0.00,0.01,0.00,0.07,0.03,0.03,0.04,0.00,0.01,0.02,0.00,0.01,0.00,0.00,0.00,0.01,,0.16,19.00,지루하다
롤러코스터,0.03,0.01,0.06,0.11,0.22,0.02,0.01,0.08,0.01,0.00,0.01,0.00,0.02,0.03,0.04,0.02,0.01,0.00,0.06,0.00,0.00,0.01,0.01,0.07,0.03,0.03,0.04,0.00,0.02,0.02,0.00,0.01,0.00,0.00,0.00,0.01,,0.22,5.00,즐겁다
루퍼,0.01,0.00,0.00,0.08,0.01,0.01,0.01,0.07,0.01,0.01,0.02,0.02,0.02,0.09,0.09,0.08,0.00,0.02,0.09,0.00,0.00,0.01,0.02,0.07,0.03,0.02,0.04,0.00,0.01,0.03,0.00,0.04,0.00,0.00,0.01,0.05,,0.09,14.00,놀라다
리미트리스,0.00,0.01,0.01,0.15,0.02,0.01,0.05,0.06,0.01,0.00,0.01,0.00,0.01,0.10,0.06,0.10,0.01,0.03,0.05,0.01,0.00,0.00,0.03,0.09,0.01,0.01,0.05,0.00,0.01,0.01,0.00,0.03,0.00,0.00,0.00,0.03,,0.15,4.00,재미있다
리얼스틸,0.05,0.02,0.01,0.14,0.02,0.03,0.00,0.05,0.01,0.01,0.14,0.01,0.02,0.01,0.15,0.04,0.02,0.07,0.04,0.00,0.00,0.02,0.00,0.04,0.01,0.02,0.02,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.02,,0.15,15.00,대단하다
리턴,0.01,0.00,0.00,0.05,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.00,0.02,0.28,0.09,0.02,0.00,0.02,0.04,0.01,0.01,0.01,0.00,0.05,0.01,0.01,0.01,0.00,0.00,0.01,0.04,0.05,0.04,0.01,0.01,0.14,,0.28,14.00,놀라다
리핑-10개의재앙,0.00,0.00,0.00,0.07,0.01,0.00,0.00,0.04,0.01,0.00,0.00,0.00,0.01,0.29,0.03,0.01,0.00,0.02,0.05,0.00,0.00,0.00,0.01,0.05,0.01,0.01,0.03,0.00,0.01,0.01,0.13,0.04,0.05,0.00,0.01,0.05,,0.29,14.00,놀라다
마당을나온암탉,0.02,0.00,0.00,0.09,0.02,0.00,0.01,0.04,0.05,0.02,0.30,0.00,0.01,0.01,0.08,0.02,0.01,0.01,0.02,0.00,0.00,0.16,0.00,0.04,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.30,11.00,감동적이다
마더,0.00,0.00,0.00,0.04,0.00,0.00,0.01,0.07,0.02,0.01,0.03,0.03,0.02,0.10,0.10,0.03,0.00,0.01,0.08,0.01,0.01,0.01,0.01,0.05,0.06,0.02,0.03,0.00,0.01,0.06,0.01,0.04,0.02,0.00,0.06,0.04,,0.10,15.00,대단하다
마루밑아리에티,0.05,0.00,0.00,0.10,0.01,0.00,0.02,0.07,0.12,0.01,0.09,0.01,0.01,0.02,0.05,0.03,0.02,0.01,0.04,0.00,0.00,0.02,0.07,0.12,0.06,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.12,9.00,황홀하다
마린보이,0.02,0.00,0.00,0.13,0.02,0.01,0.01,0.09,0.05,0.01,0.01,0.00,0.02,0.07,0.06,0.06,0.00,0.02,0.09,0.00,0.00,0.01,0.01,0.10,0.03,0.02,0.04,0.00,0.02,0.01,0.00,0.03,0.00,0.00,0.00,0.07,,0.13,4.00,재미있다
마법사의제자,0.02,0.00,0.02,0.19,0.04,0.01,0.01,0.06,0.03,0.00,0.02,0.01,0.02,0.03,0.08,0.04,0.01,0.06,0.06,0.00,0.00,0.01,0.03,0.08,0.02,0.04,0.06,0.00,0.02,0.01,0.00,0.01,0.00,0.00,0.01,0.02,,0.19,4.00,재미있다
마음이,0.03,0.00,0.00,0.02,0.01,0.00,0.01,0.01,0.03,0.02,0.22,0.00,0.01,0.01,0.05,0.00,0.01,0.02,0.03,0.02,0.00,0.40,0.00,0.02,0.01,0.01,0.02,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,,0.40,22.00,슬프다
마음이2,0.17,0.00,0.02,0.14,0.05,0.00,0.01,0.03,0.02,0.00,0.20,0.00,0.01,0.01,0.09,0.01,0.01,0.01,0.03,0.00,0.00,0.07,0.00,0.03,0.01,0.02,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.20,11.00,감동적이다
마이리틀히어로,0.06,0.00,0.01,0.05,0.03,0.00,0.02,0.05,0.02,0.12,0.23,0.00,0.01,0.01,0.07,0.02,0.03,0.08,0.04,0.01,0.00,0.05,0.00,0.04,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.23,11.00,감동적이다
마이블랙미니드레스,0.03,0.00,0.01,0.16,0.05,0.00,0.01,0.08,0.11,0.01,0.04,0.00,0.01,0.01,0.06,0.02,0.01,0.01,0.05,0.01,0.00,0.02,0.00,0.08,0.01,0.03,0.06,0.01,0.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.16,4.00,재미있다
마이웨이,0.01,0.00,0.00,0.09,0.01,0.00,0.01,0.06,0.01,0.01,0.12,0.01,0.03,0.02,0.10,0.04,0.01,0.02,0.11,0.01,0.00,0.02,0.00,0.10,0.03,0.03,0.06,0.00,0.03,0.03,0.00,0.01,0.00,0.00,0.00,0.00,,0.12,11.00,감동적이다
마이클잭슨의디스이즈잇,0.02,0.00,0.00,0.01,0.01,0.00,0.05,0.02,0.07,0.02,0.09,0.03,0.12,0.01,0.16,0.06,0.01,0.00,0.04,0.02,0.00,0.07,0.01,0.10,0.01,0.01,0.02,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.01,0.00,,0.16,15.00,대단하다
마인드헌터,0.00,0.00,0.00,0.08,0.01,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.21,0.05,0.03,0.00,0.02,0.05,0.00,0.00,0.00,0.00,0.04,0.01,0.02,0.02,0.00,0.01,0.05,0.02,0.11,0.01,0.00,0.00,0.19,,0.21,14.00,놀라다
만남의광장,0.01,0.01,0.02,0.14,0.24,0.01,0.01,0.04,0.02,0.00,0.03,0.00,0.02,0.02,0.04,0.01,0.00,0.02,0.09,0.01,0.00,0.02,0.01,0.09,0.03,0.02,0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.00,0.00,,0.24,5.00,즐겁다
만추,0.01,0.00,0.00,0.02,0.01,0.00,0.01,0.05,0.12,0.03,0.13,0.01,0.01,0.03,0.05,0.09,0.02,0.01,0.11,0.02,0.00,0.02,0.03,0.08,0.02,0.02,0.04,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,0.13,11.00,감동적이다
말아톤,0.04,0.00,0.01,0.04,0.05,0.00,0.02,0.05,0.03,0.02,0.31,0.01,0.02,0.01,0.11,0.03,0.00,0.02,0.03,0.01,0.00,0.12,0.00,0.04,0.01,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.31,11.00,감동적이다
말죽거리잔혹사,0.02,0.00,0.00,0.11,0.01,0.02,0.00,0.04,0.06,0.02,0.04,0.00,0.03,0.02,0.12,0.09,0.00,0.00,0.03,0.01,0.00,0.02,0.02,0.05,0.01,0.06,0.08,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.01,,0.12,15.00,대단하다
맨발의기봉이,0.02,0.00,0.01,0.08,0.10,0.00,0.01,0.03,0.02,0.01,0.26,0.01,0.01,0.02,0.06,0.01,0.01,0.02,0.10,0.00,0.00,0.08,0.00,0.06,0.02,0.01,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.26,11.00,감동적이다
맨발의꿈,0.04,0.00,0.01,0.07,0.04,0.00,0.03,0.08,0.02,0.01,0.31,0.01,0.02,0.01,0.13,0.02,0.00,0.03,0.03,0.00,0.00,0.05,0.00,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.31,11.00,감동적이다
맨온렛지,0.01,0.00,0.01,0.10,0.01,0.02,0.01,0.05,0.01,0.00,0.00,0.00,0.01,0.08,0.05,0.03,0.00,0.04,0.11,0.00,0.00,0.00,0.02,0.07,0.01,0.01,0.02,0.00,0.01,0.01,0.01,0.15,0.00,0.00,0.00,0.15,,0.15,36.00,오싹하다
맨온파이어,0.03,0.00,0.00,0.05,0.00,0.03,0.01,0.03,0.03,0.01,0.14,0.01,0.02,0.02,0.13,0.08,0.00,0.01,0.06,0.01,0.00,0.05,0.01,0.04,0.02,0.09,0.03,0.00,0.00,0.05,0.00,0.01,0.00,0.00,0.00,0.02,,0.14,11.00,감동적이다
맨인블랙3,0.04,0.01,0.04,0.16,0.04,0.00,0.00,0.08,0.00,0.00,0.11,0.00,0.02,0.06,0.08,0.02,0.00,0.02,0.10,0.00,0.00,0.03,0.00,0.07,0.04,0.01,0.04,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,,0.16,4.00,재미있다
맨프럼어스,0.00,0.00,0.00,0.05,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.05,0.13,0.13,0.14,0.01,0.00,0.10,0.00,0.00,0.01,0.01,0.05,0.01,0.03,0.06,0.00,0.02,0.01,0.00,0.01,0.00,0.00,0.03,0.01,,0.14,16.00,환상적이다
머니볼,0.00,0.00,0.00,0.10,0.02,0.01,0.00,0.04,0.05,0.01,0.15,0.01,0.02,0.04,0.09,0.06,0.01,0.02,0.18,0.00,0.00,0.01,0.00,0.05,0.01,0.02,0.03,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,,0.18,19.00,지루하다
메가마인드,0.09,0.01,0.05,0.21,0.06,0.01,0.01,0.04,0.02,0.01,0.03,0.00,0.02,0.07,0.09,0.02,0.01,0.04,0.05,0.00,0.00,0.00,0.00,0.04,0.01,0.01,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,0.21,4.00,재미있다
명탐정코난11번째스트라이커,0.27,0.00,0.00,0.15,0.01,0.00,0.00,0.07,0.02,0.00,0.01,0.01,0.03,0.02,0.11,0.03,0.01,0.02,0.04,0.00,0.00,0.00,0.00,0.04,0.03,0.01,0.04,0.00,0.01,0.01,0.00,0.02,0.00,0.00,0.00,0.03,,0.27,1.00,달콤하다
명탐정코난천공의난파선,0.09,0.00,0.00,0.22,0.02,0.00,0.00,0.04,0.02,0.00,0.00,0.00,0.05,0.06,0.22,0.05,0.01,0.01,0.02,0.00,0.00,0.00,0.01,0.04,0.02,0.01,0.02,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.05,,0.22,15.00,대단하다
명탐정코난칠흑의추적자,0.06,0.00,0.00,0.22,0.00,0.00,0.00,0.06,0.02,0.00,0.01,0.01,0.04,0.02,0.21,0.04,0.01,0.00,0.04,0.00,0.00,0.00,0.01,0.05,0.03,0.02,0.02,0.00,0.00,0.01,0.00,0.02,0.01,0.00,0.00,0.08,,0.22,4.00,재미있다
명탐정코난침묵의15분,0.08,0.00,0.00,0.18,0.01,0.00,0.00,0.05,0.02,0.01,0.07,0.00,0.04,0.01,0.18,0.05,0.01,0.02,0.03,0.00,0.00,0.03,0.01,0.05,0.03,0.00,0.03,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.06,,0.18,15.00,대단하다
모노폴리,0.01,0.00,0.00,0.06,0.01,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.01,0.36,0.05,0.04,0.00,0.04,0.09,0.01,0.00,0.00,0.01,0.07,0.04,0.02,0.03,0.00,0.01,0.00,0.00,0.02,0.00,0.00,0.01,0.04,,0.36,14.00,놀라다
모범시민,0.00,0.00,0.00,0.08,0.00,0.05,0.00,0.04,0.00,0.00,0.01,0.00,0.01,0.05,0.06,0.03,0.00,0.02,0.03,0.01,0.00,0.01,0.10,0.12,0.02,0.10,0.04,0.00,0.01,0.08,0.00,0.04,0.00,0.00,0.00,0.05,,0.12,24.00,안타깝다
못말리는결혼,0.02,0.01,0.03,0.15,0.28,0.01,0.03,0.04,0.03,0.01,0.02,0.00,0.01,0.00,0.06,0.01,0.00,0.05,0.07,0.00,0.00,0.01,0.01,0.06,0.01,0.01,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.28,5.00,즐겁다
몽정기2,0.01,0.00,0.01,0.06,0.04,0.00,0.02,0.04,0.02,0.00,0.01,0.01,0.02,0.01,0.05,0.01,0.00,0.01,0.09,0.00,0.00,0.01,0.01,0.18,0.03,0.05,0.11,0.02,0.16,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.18,24.00,안타깝다
무극,0.01,0.00,0.01,0.08,0.05,0.00,0.01,0.07,0.09,0.01,0.02,0.00,0.03,0.02,0.04,0.06,0.00,0.01,0.07,0.01,0.00,0.01,0.04,0.12,0.06,0.05,0.07,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.00,,0.12,24.00,안타깝다
무법자,0.00,0.00,0.00,0.05,0.01,0.09,0.00,0.03,0.00,0.00,0.01,0.01,0.01,0.08,0.04,0.02,0.00,0.01,0.03,0.01,0.01,0.01,0.01,0.09,0.03,0.08,0.07,0.01,0.05,0.17,0.01,0.01,0.02,0.00,0.01,0.04,,0.17,30.00,잔인하다
무서운이야기2,0.01,0.00,0.00,0.05,0.04,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.03,0.03,0.01,0.00,0.01,0.03,0.00,0.10,0.00,0.00,0.05,0.01,0.01,0.03,0.00,0.02,0.01,0.19,0.02,0.22,0.02,0.01,0.01,,0.22,33.00,무섭다
무적자,0.01,0.00,0.00,0.09,0.02,0.00,0.01,0.04,0.01,0.01,0.09,0.00,0.02,0.02,0.07,0.09,0.00,0.02,0.09,0.01,0.00,0.05,0.00,0.11,0.04,0.04,0.08,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.01,,0.11,24.00,안타깝다
묵공,0.00,0.00,0.00,0.09,0.01,0.10,0.00,0.09,0.02,0.01,0.03,0.00,0.04,0.02,0.07,0.07,0.00,0.01,0.14,0.00,0.00,0.01,0.02,0.11,0.04,0.02,0.03,0.00,0.02,0.02,0.00,0.01,0.00,0.00,0.00,0.00,,0.14,19.00,지루하다
뮌헨,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.04,0.01,0.01,0.03,0.01,0.02,0.01,0.06,0.03,0.00,0.01,0.23,0.02,0.00,0.01,0.02,0.05,0.04,0.11,0.03,0.00,0.01,0.10,0.00,0.06,0.01,0.00,0.00,0.03,,0.23,19.00,지루하다
미녀는괴로워,0.03,0.00,0.02,0.18,0.08,0.00,0.01,0.06,0.06,0.01,0.14,0.01,0.01,0.01,0.08,0.04,0.01,0.04,0.03,0.02,0.00,0.07,0.00,0.05,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,,0.18,4.00,재미있다
미드나잇인파리,0.03,0.01,0.06,0.04,0.04,0.00,0.04,0.07,0.23,0.01,0.03,0.03,0.02,0.02,0.05,0.11,0.01,0.02,0.05,0.00,0.00,0.00,0.01,0.05,0.02,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.23,9.00,황홀하다
미션임파서블,0.01,0.01,0.01,0.12,0.03,0.02,0.00,0.06,0.01,0.00,0.01,0.01,0.03,0.02,0.16,0.06,0.00,0.03,0.07,0.00,0.00,0.00,0.00,0.06,0.02,0.00,0.03,0.00,0.00,0.01,0.00,0.11,0.00,0.00,0.00,0.07,,0.16,15.00,대단하다
미션임파서블3,0.01,0.01,0.00,0.11,0.02,0.04,0.00,0.05,0.01,0.00,0.01,0.01,0.03,0.04,0.17,0.07,0.00,0.03,0.04,0.00,0.00,0.00,0.01,0.07,0.03,0.01,0.02,0.00,0.01,0.02,0.00,0.08,0.00,0.00,0.00,0.09,,0.17,15.00,대단하다
미스리틀선샤인,0.07,0.01,0.08,0.04,0.11,0.02,0.08,0.03,0.07,0.01,0.08,0.01,0.01,0.02,0.09,0.03,0.01,0.01,0.03,0.01,0.00,0.07,0.01,0.02,0.02,0.01,0.02,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,,0.11,5.00,즐겁다
미스터고,0.05,0.03,0.03,0.11,0.08,0.02,0.01,0.07,0.02,0.01,0.09,0.02,0.02,0.04,0.09,0.02,0.01,0.02,0.05,0.01,0.00,0.02,0.00,0.06,0.01,0.02,0.03,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.01,,0.11,4.00,재미있다
미스터미세스스미스,0.03,0.01,0.04,0.14,0.07,0.05,0.00,0.04,0.03,0.02,0.01,0.00,0.02,0.01,0.06,0.11,0.00,0.01,0.15,0.00,0.00,0.00,0.01,0.04,0.01,0.06,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.02,,0.15,19.00,지루하다
미스터소크라테스,0.01,0.01,0.03,0.21,0.09,0.04,0.01,0.08,0.01,0.01,0.02,0.00,0.01,0.03,0.07,0.05,0.00,0.02,0.08,0.00,0.00,0.01,0.01,0.07,0.01,0.02,0.04,0.01,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.01,,0.21,4.00,재미있다
미쓰GO,0.02,0.00,0.03,0.11,0.09,0.01,0.01,0.07,0.02,0.01,0.01,0.00,0.01,0.03,0.04,0.04,0.00,0.02,0.10,0.00,0.00,0.00,0.01,0.14,0.04,0.04,0.07,0.00,0.05,0.00,0.00,0.01,0.00,0.00,0.00,0.00,,0.14,24.00,안타깝다
미인도,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.05,0.28,0.01,0.04,0.01,0.01,0.03,0.04,0.04,0.00,0.01,0.05,0.03,0.00,0.07,0.00,0.10,0.03,0.05,0.05,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.28,9.00,황홀하다
미확인동영상,0.02,0.00,0.00,0.04,0.01,0.00,0.00,0.02,0.02,0.00,0.01,0.00,0.01,0.06,0.03,0.01,0.01,0.01,0.04,0.01,0.05,0.01,0.01,0.06,0.01,0.01,0.02,0.00,0.01,0.02,0.17,0.03,0.23,0.05,0.01,0.02,,0.23,33.00,무섭다
밀리언달러베이비,0.00,0.00,0.00,0.01,0.00,0.00,0.02,0.05,0.05,0.02,0.26,0.01,0.02,0.01,0.08,0.04,0.01,0.01,0.06,0.03,0.00,0.14,0.01,0.04,0.02,0.01,0.03,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,,0.26,11.00,감동적이다
