영화명,달콤하다,신나다,유쾌하다,재미있다,즐겁다,통쾌하다,행복하다,활기있다,황홀하다,감격스럽다,감동적이다,경이롭다,굉장하다,놀라다,대단하다,환상적이다,평온하다,나른하다,지루하다,가슴아프다,서글프다,슬프다,쓸쓸하다,안타깝다,애석하다,격분하다,분노하다,구역질나다,불결하다,잔인하다,공포스럽다,등골이서늘하다,무섭다,무시무시하다,소름끼치다,오싹하다
모노폴리,0.01,0,0,0.06,0.01,0,0,0.05,0.01,0,0,0,0.01,0.36,0.05,0.04,0,0.04,0.09,0.01,0,0,0.01,0.07,0.04,0.02,0.03,0,0.01,0,0,0.02,0,0,0.01,0.04
모범시민,0,0,0,0.08,0,0.05,0,0.04,0,0,0.01,0,0.01,0.05,0.06,0.03,0,0.02,0.03,0.01,0,0.01,0.1,0.12,0.02,0.1,0.04,0,0.01,0.08,0,0.04,0,0,0,0.05
못말리는결혼,0.02,0.01,0.03,0.15,0.28,0.01,0.03,0.04,0.03,0.01,0.02,0,0.01,0,0.06,0.01,0,0.05,0.07,0,0,0.01,0.01,0.06,0.01,0.01,0.03,0,0.02,0,0,0,0,0,0,0
몽정기2,0.01,0,0.01,0.06,0.04,0,0.02,0.04,0.02,0,0.01,0.01,0.02,0.01,0.05,0.01,0,0.01,0.09,0,0,0.01,0.01,0.18,0.03,0.05,0.11,0.02,0.16,0.01,0,0,0,0,0,0
무극,0.01,0,0.01,0.08,0.05,0,0.01,0.07,0.09,0.01,0.02,0,0.03,0.02,0.04,0.06,0,0.01,0.07,0.01,0,0.01,0.04,0.12,0.06,0.05,0.07,0,0.04,0.01,0,0,0,0,0,0
무법자,0,0,0,0.05,0.01,0.09,0,0.03,0,0,0.01,0.01,0.01,0.08,0.04,0.02,0,0.01,0.03,0.01,0.01,0.01,0.01,0.09,0.03,0.08,0.07,0.01,0.05,0.17,0.01,0.01,0.02,0,0.01,0.04
무서운이야기2,0.01,0,0,0.05,0.04,0,0,0.03,0,0,0,0,0.02,0.03,0.03,0.01,0,0.01,0.03,0,0.1,0,0,0.05,0.01,0.01,0.03,0,0.02,0.01,0.19,0.02,0.22,0.02,0.01,0.01
무적자,0.01,0,0,0.09,0.02,0,0.01,0.04,0.01,0.01,0.09,0,0.02,0.02,0.07,0.09,0,0.02,0.09,0.01,0,0.05,0,0.11,0.04,0.04,0.08,0,0.05,0.01,0,0,0,0,0,0.01
묵공,0,0,0,0.09,0.01,0.1,0,0.09,0.02,0.01,0.03,0,0.04,0.02,0.07,0.07,0,0.01,0.14,0,0,0.01,0.02,0.11,0.04,0.02,0.03,0,0.02,0.02,0,0.01,0,0,0,0
뮌헨,0,0,0,0.03,0.01,0,0,0.04,0.01,0.01,0.03,0.01,0.02,0.01,0.06,0.03,0,0.01,0.23,0.02,0,0.01,0.02,0.05,0.04,0.11,0.03,0,0.01,0.1,0,0.06,0.01,0,0,0.03
미녀는괴로워,0.03,0,0.02,0.18,0.08,0,0.01,0.06,0.06,0.01,0.14,0.01,0.01,0.01,0.08,0.04,0.01,0.04,0.03,0.02,0,0.07,0,0.05,0.01,0,0.01,0,0,0,0,0,0,0,0.01,0
미드나잇인파리,0.03,0.01,0.06,0.04,0.04,0,0.04,0.07,0.23,0.01,0.03,0.03,0.02,0.02,0.05,0.11,0.01,0.02,0.05,0,0,0,0.01,0.05,0.02,0.01,0.03,0,0,0,0,0,0,0,0,0
미션임파서블,0.01,0.01,0.01,0.12,0.03,0.02,0,0.06,0.01,0,0.01,0.01,0.03,0.02,0.16,0.06,0,0.03,0.07,0,0,0,0,0.06,0.02,0,0.03,0,0,0.01,0,0.11,0,0,0,0.07
미션임파서블3,0.01,0.01,0,0.11,0.02,0.04,0,0.05,0.01,0,0.01,0.01,0.03,0.04,0.17,0.07,0,0.03,0.04,0,0,0,0.01,0.07,0.03,0.01,0.02,0,0.01,0.02,0,0.08,0,0,0,0.09
미스리틀선샤인,0.07,0.01,0.08,0.04,0.11,0.02,0.08,0.03,0.07,0.01,0.08,0.01,0.01,0.02,0.09,0.03,0.01,0.01,0.03,0.01,0,0.07,0.01,0.02,0.02,0.01,0.02,0,0.01,0.01,0,0,0,0,0,0.01
미스터고,0.05,0.03,0.03,0.11,0.08,0.02,0.01,0.07,0.02,0.01,0.09,0.02,0.02,0.04,0.09,0.02,0.01,0.02,0.05,0.01,0,0.02,0,0.06,0.01,0.02,0.03,0,0.02,0.01,0,0,0,0,0,0.01
미스터미세스스미스,0.03,0.01,0.04,0.14,0.07,0.05,0,0.04,0.03,0.02,0.01,0,0.02,0.01,0.06,0.11,0,0.01,0.15,0,0,0,0.01,0.04,0.01,0.06,0.01,0,0.01,0.01,0,0.01,0,0,0,0.02
미스터소크라테스,0.01,0.01,0.03,0.21,0.09,0.04,0.01,0.08,0.01,0.01,0.02,0,0.01,0.03,0.07,0.05,0,0.02,0.08,0,0,0.01,0.01,0.07,0.01,0.02,0.04,0.01,0.02,0.03,0,0,0,0,0,0.01
미쓰GO,0.02,0,0.03,0.11,0.09,0.01,0.01,0.07,0.02,0.01,0.01,0,0.01,0.03,0.04,0.04,0,0.02,0.1,0,0,0,0.01,0.14,0.04,0.04,0.07,0,0.05,0,0,0.01,0,0,0,0
미인도,0,0,0,0.04,0.01,0,0,0.05,0.28,0.01,0.04,0.01,0.01,0.03,0.04,0.04,0,0.01,0.05,0.03,0,0.07,0,0.1,0.03,0.05,0.05,0,0.03,0,0,0,0,0,0,0
미확인동영상,0.02,0,0,0.04,0.01,0,0,0.02,0.02,0,0.01,0,0.01,0.06,0.03,0.01,0.01,0.01,0.04,0.01,0.05,0.01,0.01,0.06,0.01,0.01,0.02,0,0.01,0.02,0.17,0.03,0.23,0.05,0.01,0.02
밀리언달러베이비,0,0,0,0.01,0,0,0.02,0.05,0.05,0.02,0.26,0.01,0.02,0.01,0.08,0.04,0.01,0.01,0.06,0.03,0,0.14,0.01,0.04,0.02,0.01,0.03,0,0,0.02,0,0,0,0,0,0
밀양,0.01,0,0,0.02,0.01,0.01,0.02,0.04,0.05,0.03,0.05,0.02,0.02,0.02,0.09,0.03,0.02,0,0.1,0.11,0.01,0.05,0.02,0.07,0.03,0.03,0.04,0.01,0.01,0.03,0,0.01,0.01,0,0.02,0.01
바람,0.02,0,0.02,0.15,0.07,0,0.01,0.04,0.01,0.01,0.12,0.01,0.02,0.01,0.19,0.04,0.01,0.01,0.02,0.01,0,0.06,0,0.04,0.01,0.03,0.05,0,0.01,0.03,0,0,0,0,0,0
바람의파이터,0.01,0,0,0.1,0.01,0.01,0.01,0.08,0.03,0.04,0.05,0.02,0.03,0.02,0.12,0.13,0,0.01,0.05,0,0,0.01,0.01,0.1,0.03,0.03,0.03,0,0.01,0.01,0,0.01,0,0,0,0.01
바람피기좋은날,0.04,0.01,0.13,0.1,0.14,0.02,0.01,0.07,0.04,0,0.01,0,0.01,0.01,0.02,0.02,0,0.01,0.07,0.01,0,0.01,0.02,0.09,0.04,0.02,0.04,0,0.04,0,0,0,0,0,0,0
바르게살자,0.02,0.01,0.06,0.17,0.25,0.02,0,0.06,0.01,0,0.01,0,0.02,0.03,0.07,0.02,0,0.01,0.08,0,0,0.01,0.01,0.05,0.03,0.01,0.02,0,0.01,0.01,0,0.01,0,0,0,0
바벨,0,0,0,0.02,0.01,0,0.03,0.04,0.02,0.02,0.04,0.02,0.02,0.05,0.09,0.03,0.02,0.01,0.17,0.04,0,0.03,0.02,0.08,0.03,0.04,0.06,0.01,0.04,0.01,0.01,0.02,0,0,0,0.02
바보,0.02,0,0,0.06,0.03,0,0.02,0.02,0.04,0.03,0.21,0,0.01,0.01,0.06,0.01,0.01,0.01,0.06,0.02,0,0.23,0.01,0.07,0.02,0.01,0.02,0,0.01,0.01,0,0,0,0,0,0
바스터즈거친녀석들,0.01,0,0.05,0.06,0.02,0.11,0,0.03,0.02,0.01,0.01,0.01,0.02,0.02,0.1,0.04,0,0,0.07,0,0,0,0,0.04,0.02,0.04,0.04,0.01,0.01,0.11,0,0.09,0.01,0,0.02,0.01
박물관이살아있다,0.04,0.01,0.05,0.25,0.14,0.01,0.01,0.05,0,0.01,0.02,0,0.02,0.02,0.05,0.01,0.01,0.03,0.07,0.01,0,0,0.01,0.05,0.02,0.01,0.03,0.01,0.01,0.01,0,0,0,0,0,0.01
박물관이살아있다2,0.04,0.01,0.03,0.23,0.14,0.01,0,0.05,0.01,0,0.02,0,0.02,0.02,0.06,0.01,0.01,0,0.11,0,0,0,0.01,0.07,0.03,0.02,0.04,0,0.01,0.01,0,0.01,0,0,0,0.01
박수건달,0.04,0,0.02,0.12,0.17,0,0.01,0.05,0.02,0.02,0.1,0.01,0.01,0.02,0.08,0.02,0.02,0.02,0.06,0.01,0,0.07,0,0.05,0.01,0.01,0.03,0,0.01,0,0,0,0,0.01,0,0
박수칠때떠나라,0.01,0,0.03,0.1,0.03,0,0,0.04,0,0,0.01,0.01,0.02,0.19,0.08,0.04,0,0.01,0.06,0,0,0.01,0.02,0.06,0.02,0.01,0.02,0,0.01,0.03,0.02,0.04,0.02,0.04,0.03,0.04
박쥐,0.01,0,0.02,0.06,0.02,0,0.01,0.06,0.03,0.01,0.02,0.01,0.02,0.05,0.07,0.04,0,0.01,0.06,0.01,0,0.01,0.01,0.1,0.06,0.05,0.08,0.05,0.04,0.04,0.01,0.01,0.01,0,0.01,0.01
반가운살인자,0.04,0,0.03,0.1,0.1,0,0.01,0.05,0.02,0.01,0.06,0.01,0.01,0.04,0.07,0.02,0,0.01,0.06,0,0.01,0.02,0.01,0.04,0.02,0.08,0.02,0,0.01,0.08,0,0.01,0.01,0,0,0.04
반창꼬,0.09,0,0.03,0.11,0.07,0,0.03,0.05,0.1,0.02,0.1,0,0.01,0.01,0.08,0.06,0.02,0.04,0.04,0.01,0,0.04,0,0.04,0.01,0.01,0.02,0,0,0,0,0.01,0,0,0,0
반헬싱,0.02,0.01,0.01,0.16,0.03,0.05,0,0.06,0.03,0,0.01,0.01,0.02,0.02,0.06,0.08,0.01,0.02,0.09,0,0,0,0.02,0.07,0.03,0.02,0.04,0,0.01,0.02,0.01,0.03,0.01,0,0,0.05
방가방가,0.01,0.01,0.03,0.15,0.2,0,0.01,0.05,0.02,0.01,0.1,0,0.01,0.02,0.07,0.01,0.01,0.01,0.07,0.01,0,0.04,0.01,0.07,0.01,0.02,0.03,0,0.01,0,0,0,0,0,0,0
방과후옥상,0.02,0,0.04,0.17,0.24,0.02,0,0.06,0.01,0.01,0.02,0,0.01,0.01,0.03,0.01,0.01,0.03,0.06,0,0,0.01,0.02,0.07,0.02,0.02,0.04,0,0.05,0.02,0,0,0,0,0,0
방자전,0.01,0,0.02,0.12,0.1,0,0,0.06,0.07,0.01,0.05,0.01,0.01,0.09,0.07,0.03,0,0.01,0.12,0.01,0,0.02,0,0.09,0.02,0.01,0.03,0,0.01,0.01,0,0.01,0,0,0,0
배트맨비긴즈,0,0,0,0.08,0.01,0,0,0.07,0.01,0.01,0.01,0.02,0.09,0.15,0.17,0.08,0,0.01,0.09,0,0,0.01,0,0.04,0.02,0.01,0.04,0,0.01,0.01,0,0.01,0,0,0.01,0.01
배틀쉽,0.01,0.02,0.01,0.1,0.05,0.07,0,0.05,0.01,0.01,0.01,0.02,0.05,0.02,0.08,0.05,0,0.03,0.06,0,0,0,0.01,0.07,0.02,0.05,0.05,0.01,0.03,0.02,0,0.03,0,0,0.01,0.03
백만장자의첫사랑,0.02,0,0,0.05,0.01,0,0.01,0.04,0.22,0.01,0.11,0.01,0.01,0.01,0.03,0.03,0,0.1,0.04,0.02,0,0.16,0,0.05,0.02,0.01,0.02,0,0.01,0,0,0,0,0,0,0
백설공주,0.05,0,0.05,0.17,0.08,0.01,0.01,0.05,0.14,0.01,0.01,0,0.01,0.06,0.06,0.04,0.01,0.03,0.08,0,0,0,0,0.04,0.02,0.01,0.03,0,0,0,0,0,0,0,0,0
백야행-하얀어둠속을걷다,0.02,0,0,0.06,0,0,0,0.05,0.07,0.01,0.04,0.01,0.02,0.04,0.11,0.08,0,0.01,0.09,0.03,0,0.06,0,0.08,0.02,0.01,0.03,0,0.01,0.02,0,0.02,0.01,0,0.01,0.05
밴티지포인트,0,0,0,0.09,0.01,0.01,0,0.03,0,0,0,0.01,0.02,0.12,0.08,0.04,0,0.02,0.12,0,0,0,0.04,0.05,0.01,0.01,0.03,0,0.01,0.04,0,0.1,0,0,0.01,0.14
범죄와의전쟁,0.01,0,0.01,0.11,0.01,0,0,0.05,0.01,0.01,0.01,0.02,0.04,0.03,0.16,0.12,0.01,0.01,0.07,0,0,0,0,0.07,0.02,0.02,0.09,0,0.01,0.04,0,0.01,0.01,0,0.02,0.01
범죄의재구성,0.01,0,0.01,0.12,0.01,0.03,0.01,0.05,0.01,0,0,0.01,0.03,0.17,0.2,0.07,0,0.03,0.02,0,0,0,0.01,0.05,0.01,0.01,0.03,0,0,0.01,0,0.02,0,0,0,0.07
베니싱,0,0,0,0.04,0.01,0,0,0.04,0.01,0,0.01,0.01,0.02,0.04,0.04,0.02,0,0.01,0.05,0.01,0.01,0,0.06,0.07,0.02,0.06,0.07,0,0.06,0.03,0.11,0.07,0.05,0,0.02,0.06
베리드,0,0,0,0.03,0.01,0,0.01,0.03,0,0.01,0.02,0.01,0.03,0.12,0.07,0.08,0,0.01,0.07,0.01,0.01,0.02,0.03,0.06,0.02,0.03,0.04,0,0.03,0.03,0.04,0.08,0.02,0,0.01,0.06
베스트셀러,0,0,0,0.06,0.01,0,0,0.03,0.01,0,0,0.01,0.02,0.1,0.09,0.03,0,0.05,0.04,0,0.01,0,0.01,0.04,0.01,0.01,0.02,0,0.01,0.03,0.06,0.08,0.07,0.03,0.02,0.11
베스트키드,0.09,0,0.01,0.17,0.04,0.01,0.01,0.05,0.01,0.01,0.09,0.01,0.03,0.02,0.1,0.05,0,0.05,0.06,0.01,0.01,0.01,0.01,0.04,0.02,0.03,0.04,0,0.01,0,0,0,0.01,0,0.01,0.01
베오울프,0,0,0,0.09,0.01,0,0,0.05,0.01,0,0.01,0.01,0.03,0.05,0.08,0.05,0,0.02,0.19,0.01,0,0,0.02,0.1,0.04,0.04,0.05,0.01,0.03,0.03,0,0.01,0,0,0,0.01
복면달호,0.03,0.01,0.02,0.18,0.1,0,0.01,0.09,0.01,0.01,0.05,0,0.02,0.01,0.06,0.03,0.01,0.05,0.09,0.04,0,0.01,0,0.06,0.02,0.02,0.03,0,0.01,0,0,0,0,0,0,0
본레거시,0.01,0.01,0,0.05,0.01,0.02,0.01,0.09,0.01,0.01,0.01,0.02,0.03,0.06,0.06,0.08,0,0.01,0.11,0,0,0,0.03,0.08,0.07,0.04,0.05,0,0.02,0.01,0.01,0.05,0,0,0.01,0.04
본슈프리머시,0,0,0,0.11,0,0.02,0.01,0.06,0.01,0,0.01,0.03,0.05,0.02,0.2,0.09,0,0.01,0.05,0.01,0,0,0.01,0.05,0.02,0.01,0.02,0,0,0.02,0.01,0.07,0,0,0.01,0.1
본얼티메이텀,0.01,0,0,0.08,0.01,0.01,0,0.05,0.01,0,0.01,0.02,0.03,0.02,0.26,0.06,0,0.01,0.04,0.01,0,0,0.01,0.05,0.02,0.02,0.02,0,0.01,0.02,0,0.09,0,0,0.01,0.1
볼트,0.25,0,0.01,0.17,0.05,0,0.01,0.02,0.03,0,0.12,0,0.02,0.02,0.08,0.02,0,0.03,0.04,0,0,0.02,0,0.03,0.01,0,0.01,0,0,0,0,0,0,0,0,0.01
부당거래,0,0,0.01,0.11,0.02,0.02,0,0.05,0.01,0.01,0.01,0.01,0.03,0.08,0.18,0.05,0,0.02,0.06,0.01,0,0.01,0.01,0.07,0.01,0.02,0.05,0,0.01,0.03,0,0.03,0.01,0,0.03,0.02
분노의질주더맥시멈,0.02,0.02,0.01,0.07,0.03,0.07,0.01,0.08,0.02,0.01,0.01,0.01,0.04,0.03,0.12,0.05,0,0.01,0.06,0,0,0,0,0.04,0.03,0.02,0.14,0,0.01,0.02,0,0.01,0,0,0.01,0.03
분노의질주더오리지널,0.01,0.02,0,0.1,0.02,0.09,0,0.06,0.01,0,0.01,0.01,0.03,0.01,0.13,0.08,0.01,0.02,0.06,0,0,0,0,0.05,0.02,0.01,0.1,0,0.01,0.01,0,0.02,0,0,0.01,0.1
분노의질주언리미티드,0.02,0.03,0.01,0.1,0.04,0.12,0.01,0.05,0.01,0,0.01,0.01,0.03,0.02,0.19,0.04,0,0.02,0.04,0,0,0,0,0.05,0.02,0.01,0.08,0,0.01,0.01,0,0.01,0,0,0.01,0.04
불꽃처럼나비처럼,0.01,0,0,0.06,0.02,0,0,0.04,0.15,0.02,0.08,0.01,0.03,0.02,0.06,0.08,0,0.01,0.05,0.03,0,0.08,0,0.09,0.03,0.04,0.04,0,0.02,0.01,0,0,0,0,0,0
불량남녀,0.03,0.02,0.05,0.19,0.18,0.01,0.02,0.05,0.05,0.01,0.03,0,0.01,0.01,0.08,0.02,0,0.05,0.05,0,0,0.01,0,0.04,0.01,0.02,0.02,0,0.01,0.01,0,0,0,0,0,0
불신지옥,0,0.01,0,0.02,0,0,0,0.02,0.01,0,0,0.01,0.02,0.04,0.06,0.01,0,0.01,0.03,0,0.04,0.01,0.01,0.04,0,0.01,0.02,0,0.01,0.01,0.31,0.05,0.18,0.04,0.02,0.01
뷰티풀크리처스,0,0,0,0.11,0.02,0,0.01,0.09,0.11,0,0.02,0.03,0.03,0.05,0.1,0.09,0,0.02,0.07,0.01,0,0,0.01,0.08,0.01,0.02,0.05,0,0.01,0,0,0.01,0,0,0.01,0.01
브레이킹던part1,0.03,0,0,0.12,0.01,0,0.01,0.14,0.07,0,0.01,0,0.03,0.01,0.06,0.05,0,0.01,0.13,0.01,0,0.01,0.01,0.07,0.04,0.03,0.07,0,0.03,0.01,0,0.02,0,0,0,0.01
브레이킹던part2,0.09,0,0,0.09,0.01,0.01,0.02,0.04,0.04,0,0.02,0.01,0.04,0.19,0.11,0.03,0.01,0.01,0.04,0,0,0.01,0.03,0.08,0.02,0.03,0.02,0,0.01,0.01,0,0.02,0,0,0.01,0.01
브로크백마운틴,0,0,0,0,0,0,0.01,0.02,0.31,0.02,0.13,0.02,0.01,0.02,0.05,0.04,0.01,0,0.03,0.09,0,0.1,0.01,0.04,0.01,0.01,0.02,0.03,0.01,0.01,0,0,0,0,0,0
브이포벤데타,0,0,0,0.05,0.01,0.01,0,0.04,0.02,0.02,0.08,0.04,0.03,0.03,0.14,0.11,0,0.01,0.08,0,0,0.02,0.01,0.05,0.02,0.03,0.06,0,0.01,0.03,0,0.01,0.02,0,0.04,0.01
블라인드,0.01,0,0,0.07,0.01,0,0,0.03,0,0,0.02,0,0.02,0.03,0.09,0.03,0,0.03,0.03,0,0.01,0.02,0.01,0.04,0.01,0.01,0.02,0,0,0.04,0.02,0.13,0.08,0,0.02,0.21
블라인드사이드,0.04,0,0.01,0.05,0.02,0,0.07,0.02,0.05,0.01,0.33,0.01,0.01,0.02,0.13,0.04,0,0.02,0.03,0,0,0.03,0,0.03,0.01,0.01,0.02,0,0,0,0,0,0,0,0.01,0
블랙스완,0,0,0,0.02,0,0,0,0.02,0.03,0.01,0.02,0.06,0.04,0.03,0.17,0.09,0,0.01,0.04,0.01,0.01,0.02,0,0.03,0.01,0.01,0.03,0,0.01,0.01,0.02,0.06,0.04,0,0.16,0.03
블러드,0.01,0,0,0.07,0.01,0,0,0.07,0.05,0.01,0.01,0,0.02,0.03,0.04,0.04,0,0.02,0.05,0.01,0.01,0.01,0.02,0.13,0.05,0.07,0.13,0.01,0.07,0.03,0.01,0.01,0,0,0.01,0
블러드다이아몬드,0,0,0,0.05,0,0,0.02,0.02,0.03,0.01,0.1,0.01,0.02,0.03,0.14,0.06,0,0.01,0.06,0.17,0.01,0.05,0,0.04,0.01,0.01,0.03,0,0,0.05,0,0.02,0.01,0,0,0.02
비밀의숲테라비시아,0.02,0,0,0.09,0.01,0,0.01,0.06,0.06,0.01,0.14,0,0.01,0.02,0.04,0.03,0.01,0.01,0.06,0,0,0.12,0.05,0.07,0.04,0.02,0.05,0,0.01,0.03,0,0,0,0,0,0
비스티보이즈,0,0,0,0.06,0.02,0,0,0.07,0.03,0.01,0.02,0.01,0.03,0.05,0.08,0.04,0,0,0.06,0.01,0,0.02,0.03,0.13,0.04,0.04,0.1,0.02,0.08,0.02,0,0,0.01,0,0.01,0
비열한거리,0.01,0,0,0.08,0,0,0.01,0.05,0.02,0.01,0.04,0.01,0.03,0.05,0.13,0.11,0,0.04,0.05,0.02,0.01,0.04,0.01,0.05,0.01,0.03,0.03,0,0.01,0.07,0,0.02,0.01,0,0.01,0.01
비커밍제인,0.02,0,0,0.03,0,0,0.04,0.05,0.26,0.02,0.11,0.01,0.01,0.01,0.04,0.06,0,0.02,0.07,0.06,0,0.08,0,0.06,0.01,0,0.01,0,0,0,0,0,0.01,0,0,0
빌리지,0,0,0.01,0.03,0,0,0,0.06,0.03,0,0.01,0.01,0.01,0.29,0.04,0.02,0.01,0.01,0.09,0,0.02,0.01,0.02,0.04,0.03,0.01,0.02,0,0.01,0.01,0.08,0.03,0.02,0,0.01,0.05
사랑따윈필요없어,0.01,0,0,0.09,0.01,0,0.02,0.05,0.11,0.03,0.09,0.01,0,0.02,0.04,0.05,0,0.02,0.07,0.02,0,0.09,0.01,0.1,0.05,0.03,0.05,0,0.01,0.01,0,0,0,0,0,0
사랑을놓치다,0.02,0,0.01,0.02,0.03,0,0.02,0.04,0.32,0.02,0.09,0,0.01,0.01,0.04,0.02,0.01,0.01,0.08,0.06,0,0.04,0.01,0.06,0.03,0.01,0.02,0,0,0,0,0,0,0,0,0
사생결단,0,0,0,0.07,0.01,0.01,0,0.06,0.02,0.01,0.01,0.02,0.04,0.03,0.14,0.09,0,0.01,0.06,0,0,0.01,0.03,0.12,0.03,0.03,0.05,0.02,0.03,0.06,0,0.01,0.01,0,0.01,0.01
사이코메트리,0.02,0,0.02,0.09,0.04,0,0,0.07,0.01,0.01,0.01,0,0.02,0.05,0.04,0.06,0.02,0.03,0.06,0.01,0.01,0.01,0.01,0.08,0.02,0.02,0.04,0,0.03,0.02,0,0.07,0.02,0,0.01,0.09
사일런트힐,0,0,0,0.05,0.01,0,0,0.02,0.01,0.01,0.01,0.01,0.02,0.04,0.06,0.02,0.01,0.01,0.06,0,0.01,0.01,0.01,0.03,0.01,0.02,0.04,0.01,0.02,0.04,0.2,0.07,0.09,0.01,0.03,0.04
살인소설,0,0.01,0,0.01,0,0,0,0.02,0,0,0,0,0.01,0.08,0.03,0.02,0,0.02,0.03,0,0.02,0,0.01,0.03,0.01,0.01,0.02,0,0.01,0.06,0.18,0.09,0.17,0.05,0.02,0.09
삼국지-용의부활,0,0,0,0.09,0.01,0,0,0.06,0.01,0.01,0.06,0.01,0.04,0.01,0.06,0.13,0.01,0.01,0.09,0,0,0.03,0.05,0.11,0.06,0.04,0.04,0,0.02,0.02,0,0.01,0,0,0,0.01
상사부일체-두사부일체3,0.01,0,0.01,0.09,0.12,0.01,0.01,0.03,0.02,0.01,0.01,0,0.02,0.01,0.03,0,0,0.02,0.09,0,0,0.01,0,0.11,0.04,0.07,0.1,0.01,0.16,0.01,0,0,0,0,0,0
상하이,0,0,0,0.05,0.01,0,0.02,0.06,0.05,0.01,0.03,0.01,0.03,0.02,0.14,0.08,0,0.01,0.07,0,0,0.01,0.01,0.05,0.01,0.01,0.04,0,0.01,0.01,0,0.11,0,0,0.03,0.11
새드무비,0.02,0,0,0.03,0.01,0,0.01,0.05,0.1,0.02,0.06,0,0.01,0,0.02,0.01,0,0.03,0.08,0.02,0,0.35,0.03,0.07,0.03,0.01,0.02,0.01,0.01,0,0,0,0,0,0,0
새미의어드벤쳐,0.11,0,0.01,0.1,0.02,0.01,0.06,0.02,0.06,0.01,0.15,0.02,0.03,0.02,0.14,0.02,0.01,0.01,0.04,0,0,0.04,0,0.03,0.01,0.01,0.02,0,0,0.01,0,0.01,0,0,0,0.01
새벽의저주,0,0,0,0.04,0.01,0.01,0,0.02,0,0,0,0,0.02,0.02,0.07,0.01,0,0,0.02,0,0.01,0,0.01,0.02,0.01,0.01,0.04,0,0.01,0.02,0.05,0.04,0.04,0,0.46,0.04
색즉시공시즌2,0.03,0.01,0.03,0.15,0.25,0.01,0.01,0.04,0.04,0.01,0.08,0,0.02,0,0.07,0.02,0.01,0.03,0.04,0,0,0.06,0,0.04,0.01,0.01,0.02,0,0.02,0,0,0,0,0,0,0
생텀,0,0,0,0.09,0.01,0,0,0.05,0.01,0,0.05,0,0.02,0.01,0.06,0.06,0.01,0.07,0.08,0.01,0,0.02,0.02,0.08,0.02,0.01,0.03,0,0.01,0.03,0.02,0.13,0.02,0,0,0.06
섀도우헌터스,0.04,0.01,0.01,0.13,0.06,0,0,0.09,0.09,0.01,0.01,0,0.01,0.05,0.06,0.1,0,0.01,0.06,0,0,0,0,0.07,0.01,0.03,0.05,0,0.03,0,0,0.02,0,0,0,0.01
선샤인,0,0,0,0.04,0,0,0.01,0.05,0.05,0.01,0.04,0.02,0.02,0.04,0.08,0.07,0.01,0.03,0.05,0.01,0.01,0.02,0.01,0.06,0.02,0.01,0.03,0,0.01,0.02,0.03,0.08,0.01,0,0.13,0.05
설국열차,0.01,0,0.01,0.07,0.02,0.01,0.01,0.08,0.01,0.01,0.03,0.02,0.02,0.05,0.08,0.04,0.01,0.01,0.09,0,0,0.01,0.04,0.09,0.04,0.03,0.04,0,0.02,0.08,0,0.03,0,0,0.01,0.01
세븐데이즈,0,0,0,0.08,0,0,0,0.04,0,0,0.01,0.01,0.03,0.19,0.2,0.04,0,0.01,0.03,0.01,0,0,0,0.04,0.01,0.01,0.02,0,0,0.02,0,0.07,0.01,0,0.03,0.12
세븐파운즈,0,0,0,0.01,0,0,0.03,0.02,0.04,0.02,0.25,0,0.01,0.04,0.04,0.02,0.01,0.03,0.21,0.02,0,0.11,0,0.04,0.01,0.02,0.02,0,0,0.01,0,0,0.01,0,0,0
세상에서가장아름다운이별,0.01,0,0,0.01,0.01,0,0.05,0.01,0.1,0.02,0.11,0,0.02,0.01,0.05,0.01,0.01,0.07,0.02,0.03,0.01,0.35,0,0.02,0.06,0.01,0.02,0,0,0.01,0,0,0,0,0,0
세상의중심에서사랑을외치다,0.01,0,0,0.02,0,0,0.01,0.04,0.21,0.02,0.14,0,0.01,0.01,0.04,0.02,0.01,0.04,0.13,0.03,0,0.16,0,0.04,0.03,0.01,0.02,0,0.01,0.01,0,0,0,0,0,0
세얼간이,0.02,0,0.04,0.12,0.09,0.01,0.02,0.03,0.01,0.01,0.15,0.01,0.02,0.02,0.24,0.02,0,0.02,0.04,0,0,0.02,0,0.04,0.01,0.01,0.03,0,0.01,0,0,0,0,0,0,0
셔터,0,0,0,0.01,0.01,0,0,0.01,0,0,0,0,0.02,0.07,0.02,0,0,0.04,0.03,0.01,0.04,0,0,0.02,0.01,0,0.01,0,0.01,0,0.2,0.02,0.27,0.14,0.01,0
셜록홈즈,0.04,0,0.04,0.16,0.04,0.01,0,0.12,0.01,0,0,0.01,0.01,0.04,0.07,0.08,0,0.02,0.12,0,0,0,0,0.05,0.02,0.01,0.03,0,0.01,0,0,0.03,0,0,0,0.04
셜록홈즈-그림자게임,0.03,0,0.05,0.18,0.05,0.01,0,0.06,0.01,0.01,0.01,0.01,0.02,0.03,0.08,0.05,0.01,0.01,0.17,0,0,0,0,0.06,0.02,0.02,0.02,0,0,0,0,0.02,0,0,0,0.03
소셜네트워크,0.01,0,0.01,0.12,0.01,0,0,0.05,0.01,0.01,0.03,0.01,0.03,0.05,0.09,0.09,0,0.01,0.18,0.01,0.01,0,0.02,0.07,0.02,0.03,0.05,0,0.02,0.01,0,0.02,0,0,0,0.02
