영화명,달콤하다,신나다,유쾌하다,재미있다,즐겁다,통쾌하다,행복하다,활기있다,황홀하다,감격스럽다,감동적이다,경이롭다,굉장하다,놀라다,대단하다,환상적이다,평온하다,나른하다,지루하다,가슴아프다,서글프다,슬프다,쓸쓸하다,안타깝다,애석하다,격분하다,분노하다,구역질나다,불결하다,잔인하다,공포스럽다,등골이서늘하다,무섭다,무시무시하다,소름끼치다,오싹하다
김종욱찾기,0.12,0,0.05,0.13,0.09,0,0.02,0.06,0.13,0.01,0.03,0,0.01,0.02,0.07,0.05,0.01,0.04,0.06,0,0,0,0,0.05,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0
꼬마니콜라,0.38,0,0.06,0.11,0.14,0,0.02,0.02,0.07,0,0.04,0,0.01,0.01,0.05,0.01,0,0.01,0.03,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0
꼭두각시,0,0,0,0.06,0.02,0,0.01,0.05,0.02,0.01,0,0,0.02,0.03,0.03,0.02,0.01,0.01,0.02,0,0.02,0.01,0,0.08,0.02,0.03,0.06,0,0.05,0.01,0.22,0.03,0.09,0.02,0.01,0.04
꽃보다남자,0.1,0,0.01,0.18,0.07,0.01,0.02,0.06,0.04,0.01,0.03,0,0.01,0.03,0.15,0.05,0.01,0.03,0.05,0,0,0,0,0.06,0.02,0.03,0.02,0,0.01,0,0,0,0,0,0,0
나나,0.06,0.01,0,0.11,0.02,0,0,0.09,0.08,0.01,0.08,0,0.01,0.01,0.09,0.13,0,0,0.04,0,0,0.02,0.02,0.08,0.06,0,0.03,0,0,0.01,0,0,0,0,0.01,0
나는왕이로소이다,0.02,0.01,0.07,0.16,0.2,0.02,0.01,0.06,0.01,0.01,0.03,0,0.01,0.02,0.05,0.02,0.01,0.05,0.07,0,0,0,0,0.06,0.01,0.01,0.02,0,0.02,0,0,0,0,0,0,0
나는전설이다,0.01,0,0,0.08,0,0,0,0.04,0,0,0.02,0,0.06,0.05,0.05,0.02,0.01,0.01,0.04,0,0,0.02,0.14,0.07,0.03,0.02,0.03,0,0.01,0.01,0.02,0.07,0.02,0,0.08,0.06
"나니아연대기-사자,마녀그리고옷장",0.03,0,0,0.2,0.02,0,0.01,0.1,0.02,0,0.03,0,0.03,0.01,0.07,0.06,0,0.02,0.09,0,0,0.01,0.04,0.08,0.05,0.02,0.04,0,0.01,0.01,0,0.01,0.01,0,0,0.01
나니아연대기새벽출정호의항해,0.04,0,0,0.23,0.01,0,0.01,0.06,0.02,0,0.04,0,0.03,0.01,0.11,0.05,0.01,0.02,0.09,0.01,0,0.02,0.01,0.09,0.04,0.02,0.03,0,0.01,0,0,0.01,0,0,0,0.02
나비효과,0,0,0,0.09,0.01,0,0.02,0.03,0.02,0.01,0.03,0.03,0.03,0.11,0.19,0.07,0,0,0.03,0.01,0,0.03,0.01,0.05,0.01,0.01,0.03,0,0.01,0.01,0,0.03,0.01,0,0.03,0.07
